"uid";"degre1";"degre2";"degre3";"degre4";"degre5";"degre6";"degre7";"participation";"ccluster1";"ccluster2"
"135025";"1.0";"1.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.7291666666666667";"0.0";"0.0"
"300667";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"147322";"5.0";"5.0";"5.0";"7.0";"4.0";"4.0";"0.0";"0.9644444444444445";"0.24867724867724866";"0.1924731182795699"
"17790";"2.0";"3.0";"3.0";"1.0";"0.0";"0.0";"0.0";"0.8353909465020577";"0.6666666666666666";"0.4206896551724138"
"389766";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.875";"null";"0.0"
"52612";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.5833333333333334";"null";"0.8"
"81542";"4.0";"4.0";"0.0";"4.0";"1.0";"0.0";"0.0";"0.8284023668639054";"0.3148148148148148";"0.22333333333333333"
"30086";"8.0";"8.0";"2.0";"17.0";"2.0";"11.0";"0.0";"0.8901909722222223";"0.17938420348058903";"0.20637087599544937"
"596109";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"454528";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"151951";"1.0";"1.0";"0.0";"4.0";"0.0";"0.0";"0.0";"0.5833333333333334";"0.5";"0.4"
"519058";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.875";"null";"0.0"
"580508";"2.0";"2.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.8425925925925927";"0.6666666666666666";"0.3076923076923077"
"11669";"1.0";"3.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.8095238095238095";"0.7083333333333334";"0.5058823529411764"
"17303";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"70807";"0.0";"1.0";"1.0";"3.0";"2.0";"1.0";"0.0";"0.875";"0.2916666666666667";"0.23333333333333334"
"323997";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"874902";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.8333333333333334";"null"
"104858";"1.0";"2.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.712962962962963";"0.8333333333333334";"0.509090909090909"
"124057";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.5833333333333334";"null";"0.8"
"759439";"3.0";"3.0";"0.0";"4.0";"3.0";"4.0";"0.0";"0.9284890426758939";"0.46825396825396826";"0.35130434782608694"
"4763";"1.0";"1.0";"1.0";"3.0";"2.0";"0.0";"0.0";"0.875";"0.375";"0.31666666666666665"
"57756";"5.0";"6.0";"7.0";"5.0";"5.0";"13.0";"0.0";"0.9383303589133453";"0.36689814814814814";"0.3440828402366864"
"7582";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"18594";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"149414";"3.0";"3.0";"0.0";"5.0";"0.0";"0.0";"0.0";"0.7520661157024795";"0.4583333333333333";"0.3384615384615385"
"53670";"5.0";"6.0";"6.0";"8.0";"3.0";"11.0";"0.0";"0.9434582511505589";"0.30952380952380953";"0.2146341463414634"
"275874";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"27305";"3.0";"3.0";"2.0";"7.0";"3.0";"13.0";"0.0";"0.8643773846687478";"0.290519877675841";"0.28258426966292133"
"39593";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.875";"null";"0.2"
"95404";"0.0";"0.0";"0.0";"2.0";"2.0";"0.0";"0.0";"0.5833333333333334";"0.5833333333333334";"0.3"
"711096";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.5185185185185185";"0.6666666666666666";"0.5"
"241071";"2.0";"3.0";"3.0";"1.0";"2.0";"0.0";"0.0";"0.9063360881542701";"0.5416666666666666";"0.3276595744680851"
"775095";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null"
"96180";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"59061";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"526767";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"62392";"0.0";"0.0";"3.0";"1.0";"0.0";"0.0";"0.0";"0.4375";"0.4444444444444444";"0.26666666666666666"
"104890";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"61116";"4.0";"5.0";"2.0";"17.0";"4.0";"10.0";"0.0";"0.8690476190476192";"0.2107843137254902";"0.197869101978691"
"145342";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"605110";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"161730";"2.0";"4.0";"2.0";"7.0";"2.0";"10.0";"0.0";"0.8834019204389577";"0.33111111111111113";"0.3673913043478261"
"566729";"2.0";"2.0";"0.0";"5.0";"3.0";"0.0";"0.0";"0.8263888888888888";"0.24444444444444444";"0.06666666666666667"
"76225";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"131781";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"39367";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"715482";"16.0";"21.0";"8.0";"26.0";"15.0";"15.0";"0.0";"0.9508544913897331";"0.1272863008585293";"0.11599711330286264"
"131026";"1.0";"1.0";"1.0";"7.0";"1.0";"10.0";"0.0";"0.761904761904762";"0.3005050505050505";"0.425"
"110036";"3.0";"4.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.6927083333333334";"0.3888888888888889";"0.3157894736842105"
"73428";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.5";"null"
"43993";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null"
"48089";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"149976";"3.0";"3.0";"4.0";"3.0";"3.0";"5.0";"0.0";"0.9629629629629631";"0.39285714285714285";"0.378021978021978"
"188381";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2786";"2.0";"2.0";"1.0";"0.0";"2.0";"12.0";"0.0";"0.659279778393352";"0.36231884057971014";"0.3627450980392157"
"155872";"3.0";"3.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7142857142857143";"0.3333333333333333";"0.24"
"89057";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"49635";"2.0";"2.0";"2.0";"3.0";"0.0";"0.0";"0.0";"0.8641975308641975";"0.4722222222222222";"0.26"
"164325";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.5833333333333334";"null";"0.0"
"242662";"1.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.7291666666666667";"0.8333333333333334";"0.32"
"142054";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"149987";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"118245";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4584";"10.0";"12.0";"2.0";"11.0";"5.0";"13.0";"0.0";"0.9328349353269254";"0.26143790849673204";"0.2475512021371327"
"290791";"3.0";"4.0";"4.0";"0.0";"3.0";"1.0";"0.0";"0.9022222222222223";"0.4537037037037037";"0.30114942528735633"
"65259";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"580580";"3.0";"4.0";"1.0";"3.0";"2.0";"0.0";"0.0";"0.8974358974358975";"0.5";"0.38461538461538464"
"177902";"2.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7466666666666666";"0.3333333333333333";"0.1"
"462056";"1.0";"1.0";"0.0";"0.0";"1.0";"3.0";"0.0";"0.7777777777777779";"0.0";"0.6"
"6381";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"65005";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"477173";"1.0";"2.0";"1.0";"4.0";"0.0";"0.0";"0.0";"0.765625";"0.47619047619047616";"0.3047619047619048"
"51186";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"279798";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"45556";"55.0";"58.0";"45.0";"52.0";"28.0";"10.0";"0.0";"0.9390012573707943";"0.03337870795757473";"0.0367985131913862"
"16119";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"35064";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"293885";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"42234";"2.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7466666666666666";"0.8333333333333334";"0.4"
"201470";"2.0";"2.0";"1.0";"4.0";"2.0";"1.0";"0.0";"0.9236111111111112";"0.6111111111111112";"0.40350877192982454"
"601334";"2.0";"3.0";"2.0";"2.0";"2.0";"1.0";"0.0";"0.9560185185185186";"0.6428571428571429";"0.3864406779661017"
"63486";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"13823";"1.0";"1.0";"2.0";"2.0";"2.0";"0.0";"0.0";"0.9114583333333334";"0.4444444444444444";"0.192"
"416518";"1.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.875";"null";"0.3"
"324356";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"13056";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"40706";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.5833333333333334";"null";"0.8"
"13314";"2.0";"2.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.9047619047619048";"0.3333333333333333";"0.08421052631578947"
"59658";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.7291666666666667";"0.16666666666666666";"0.04"
"175634";"2.0";"3.0";"1.0";"3.0";"2.0";"0.0";"0.0";"0.9063360881542701";"0.4583333333333333";"0.25957446808510637"
"39441";"8.0";"11.0";"7.0";"19.0";"13.0";"14.0";"0.0";"0.9506172839506173";"0.22597597597597596";"0.21761363636363637"
"458767";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.5";"null"
"573200";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.875";"null";"0.0"
"130583";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"115994";"4.0";"4.0";"3.0";"3.0";"3.0";"2.0";"0.0";"0.9630655586334257";"0.4015151515151515";"0.28456375838926173"
"161047";"3.0";"3.0";"1.0";"8.0";"3.0";"0.0";"0.0";"0.8353909465020577";"0.23873873873873874";"0.20517241379310344"
"14113";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.7291666666666667";"0.6666666666666666";"0.36"
"38177";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"477474";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"53286";"2.0";"2.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.7777777777777779";"0.3333333333333333";"0.1"
"192292";"4.0";"5.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.7939814814814815";"0.12745098039215685";"0.12244897959183673"
"9513";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"43049";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"42794";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"42540";"8.0";"11.0";"4.0";"13.0";"6.0";"14.0";"0.0";"0.9427083333333334";"0.24358974358974358";"0.21041831097079716"
"68141";"1.0";"2.0";"1.0";"4.0";"0.0";"0.0";"0.0";"0.765625";"0.42857142857142855";"0.3904761904761905"
"460346";"1.0";"1.0";"1.0";"4.0";"1.0";"6.0";"0.0";"0.8333333333333334";"0.2777777777777778";"0.4514285714285714"
"33083";"0.0";"0.0";"0.0";"4.0";"0.0";"0.0";"0.0";"0.0";"0.5";"null"
"127805";"3.0";"4.0";"0.0";"6.0";"1.0";"0.0";"0.0";"0.7976190476190477";"0.3263888888888889";"0.25970149253731345"
"445253";"6.0";"6.0";"4.0";"13.0";"5.0";"13.0";"0.0";"0.9284744228157538";"0.2887788778877888";"0.2789533560864619"
"722248";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"448323";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.5833333333333334";"null";"0.0"
"39492";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"72262";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.5185185185185185";"0.8333333333333334";"0.4"
"247114";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"963391";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"41551";"1.0";"1.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.6533333333333334";"0.2222222222222222";"0.17142857142857143"
"230738";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.5";"null"
"429905";"2.0";"4.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.765625";"0.30952380952380953";"0.2761904761904762"
"282203";"2.0";"2.0";"0.0";"3.0";"0.0";"1.0";"0.0";"0.8385416666666667";"0.6333333333333333";"0.3652173913043478"
"661329";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"5470";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"129629";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"137308";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"45155";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"35685";"4.0";"6.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.56";"0.2222222222222222";"0.15"
"378466";"0.0";"0.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.5185185185185185";"0.8333333333333334";"0.4"
"85353";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"69739";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"114541";"1.0";"1.0";"3.0";"0.0";"2.0";"0.0";"0.0";"0.8095238095238096";"0.8333333333333334";"0.47058823529411764"
"31342";"5.0";"5.0";"2.0";"2.0";"0.0";"0.0";"0.0";"0.8214285714285715";"0.1893939393939394";"0.17391304347826086"
